"Taxon Name", "Synonym", "Name According to"
"Botrychium multifidum", "Sceptridium multifidum (S.G. Gmelin) M. Nishida", "Hauk, W.D., C.R. Parks & M.W. Chase. 2003. Phylogenetic studies of Ophioglossaceae: evidence from rbcL and trnL-F plastid DNA sequences and morphology. Molecular Phylogenetics and Evolution 28: 131-151."
"Botrychium oneidense", "Sceptridium oneidense (Gilbert) Holub", "Hauk, W.D., C.R. Parks & M.W. Chase. 2003. Phylogenetic studies of Ophioglossaceae: evidence from rbcL and trnL-F plastid DNA sequences and morphology. Molecular Phylogenetics and Evolution 28: 131-151."
"Botrychium rugulosum", "Sceptridium rugulosum (W.H. Wagner) Skoda & Holub", "Reznicek, A.A., E.G. Voss & B. S. Walters. 2011. MICHIGAN FLORA ONLINE. University of Michigan. Web. 9-27-2013 [February 2011]. http://michiganflora.net/home.aspx"
"Botrychium virginianum", "Botrypus virginianus (Linnaeus) Michaux", "Hauk, W.D., C.R. Parks & M.W. Chase. 2003. Phylogenetic studies of Ophioglossaceae: evidence from rbcL and trnL-F plastid DNA sequences and morphology. Molecular Phylogenetics and Evolution 28: 131-151."
"Bromus aleutensis", "Bromus sitchensis var. aleutensis (Trinius ex Grisebach) Hultén", "Brainerd, R.E., N. Otting & B.L. Wilson. 2016. New combinations in Bromus sitchensis (Poaceae). Phytoneuron 2016-36: 1-4"
"Bromus carinatus", "Bromus sitchensis var. carinatus (Hooker & Arnott) R.E. Brainerd & Otting", "Brainerd, R.E., N. Otting & B.L. Wilson. 2016. New combinations in Bromus sitchensis (Poaceae). Phytoneuron 2016-36: 1-4"
"Bromus carinatus var. carinatus", "Bromus sitchensis var. carinatus (Hooker & Arnott) R.E. Brainerd & Otting", "Brainerd, R.E., N. Otting & B.L. Wilson. 2016. New combinations in Bromus sitchensis (Poaceae). Phytoneuron 2016-36: 1-4"
"Bromus carinatus var. marginatus", "Bromus sitchensis var. marginatus (Nees ex Steudel) B. Boivin", "Brainerd, R.E., N. Otting & B.L. Wilson. 2016. New combinations in Bromus sitchensis (Poaceae). Phytoneuron 2016-36: 1-4"
"Bromus japonicus", "Bromus japonicus Houttuyn", "Soreng, R.J., G. Davidse, P.M. Peterson, F.O. Zuloaga, E.J. Judziewicz, T.S. Filgueiras & O. Morrone. 2002+. Catalogue of New World Grasses (Poaceae). http://legacy.tropicos.org/Project/CNWG (consulted 2020-05-14)"
"Bromus pubescens", "Bromus pubescens Sprengel", "International Plant Names Index (IPNI). 2004+. http://www.ipni.org/index.html"
