"Taxon Name", "Match", "Number of Matches", "Match Number", "Matches", "Scientific Name Authorship", "Canonical Name", "Taxon Rank", "Name According To", "Taxonic Status", "Higher Classification"
"Euphorbia virgata", "yes", "1", "1", "Euphorbia virgata Waldstein & Kitaibel", "Waldstein & Kitaibel", "Euphorbia virgata", "species", "FNA Editorial Committee. 2016. Flora of North America north of Mexico. Volume 12. Magnoliophyta: Vitaceae to Garryaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Malpighiales;Euphorbiaceae;Euphorbioideae;Euphorbieae;Euphorbia;Euphorbia subg. Esula"
"Euphrasia hudsoniana", "yes", "1", "1", "Euphrasia hudsoniana Fernald & Wiegand", "Fernald & Wiegand", "Euphrasia hudsoniana", "species", "FNA Editorial Committee. 2019. Flora of North America north of Mexico. Volume 17. Magnoliophyta: Tetrachondraceae to Orobanchaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Lamiales;Orobanchaceae;Rhinantheae;Euphrasia;Euphrasia sect. Euphrasia"
"Euphrasia nemorosa", "yes", "1", "1", "Euphrasia nemorosa (Persoon) Wallroth", "(Persoon) Wallroth", "Euphrasia nemorosa", "species", "", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Lamiales;Orobanchaceae;Rhinantheae;Euphrasia;Euphrasia sect. Euphrasia"
"Euphrasia subarctica", "yes", "1", "1", "Euphrasia subarctica Raup", "Raup", "Euphrasia subarctica", "species", "FNA Editorial Committee. 2019. Flora of North America north of Mexico. Volume 17. Magnoliophyta: Tetrachondraceae to Orobanchaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Lamiales;Orobanchaceae;Rhinantheae;Euphrasia;Euphrasia sect. Euphrasia"
"Eurhynchiastrum pulchellum var. barnesii", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Eurhynchiastrum pulchellum var. pulchellum", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Eurybia conspicua", "yes", "1", "1", "Eurybia conspicua (Lindley) G.L. Nesom", "(Lindley) G.L. Nesom", "Eurybia conspicua", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 20: Magnoliophyta: Asteridae, part 7: Asteraceae, part 2. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Astereae;Eurybia"
"Eurybia sibirica", "yes", "1", "1", "Eurybia sibirica (Linnaeus) G.L. Nesom", "(Linnaeus) G.L. Nesom", "Eurybia sibirica", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 20: Magnoliophyta: Asteridae, part 7: Asteraceae, part 2. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Astereae;Eurybia"
"Euthamia graminifolia", "yes", "1", "1", "Euthamia graminifolia (Linnaeus) Nuttall", "(Linnaeus) Nuttall", "Euthamia graminifolia", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 20: Magnoliophyta: Asteridae, part 7: Asteraceae, part 2. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Astereae;Euthamia"
"Eutrochium maculatum", "yes", "1", "1", "Eutrochium maculatum (Linnaeus) E.E. Lamont", "(Linnaeus) E.E. Lamont", "Eutrochium maculatum", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 21: Magnoliophyta: Asteridae, part 8: Asteraceae, part 3. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Eupatorieae;Eutrochium"
"Eutrochium maculatum var. bruneri", "yes", "1", "1", "Eutrochium maculatum var. bruneri (A. Gray) E.E. Lamont", "(A. Gray) E.E. Lamont", "Eutrochium maculatum var. bruneri", "variety", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 21: Magnoliophyta: Asteridae, part 8: Asteraceae, part 3. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Eupatorieae;Eutrochium;Eutrochium maculatum"
"Fagopyrum esculentum", "yes", "1", "1", "Fagopyrum esculentum Moench", "Moench", "Fagopyrum esculentum", "species", "FNA Editorial Committee. 2005. Flora of North America north of Mexico. Volume 5: Magnoliophyta: Caryophyllidae, part 2. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Caryophyllanae;Caryophyllales;Polygonaceae;Polygonoideae;Persicarieae;Fagopyrum"
"Fagopyrum tataricum", "yes", "1", "1", "Fagopyrum tataricum (Linnaeus) Gaertner", "(Linnaeus) Gaertner", "Fagopyrum tataricum", "species", "FNA Editorial Committee. 2005. Flora of North America north of Mexico. Volume 5: Magnoliophyta: Caryophyllidae, part 2. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Caryophyllanae;Caryophyllales;Polygonaceae;Polygonoideae;Persicarieae;Fagopyrum"
"Fallopia convolvulus", "yes", "1", "1", "Fallopia convolvulus (Linnaeus) Á. Löve", "(Linnaeus) Á. Löve", "Fallopia convolvulus", "species", "FNA Editorial Committee. 2005. Flora of North America north of Mexico. Volume 5: Magnoliophyta: Caryophyllidae, part 2. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Caryophyllanae;Caryophyllales;Polygonaceae;Polygonoideae;Polygoneae;Fallopia"
"Fallopia scandens", "yes", "1", "1", "Fallopia scandens (Linnaeus) Holub", "(Linnaeus) Holub", "Fallopia scandens", "species", "FNA Editorial Committee. 2005. Flora of North America north of Mexico. Volume 5: Magnoliophyta: Caryophyllidae, part 2. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Caryophyllanae;Caryophyllales;Polygonaceae;Polygonoideae;Polygoneae;Fallopia"
"Festuca", "yes", "1", "1", "Festuca Linnaeus", "Linnaeus", "Festuca", "genus", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae"
"Festuca altaica", "yes", "1", "1", "Festuca altaica Trinius", "Trinius", "Festuca altaica", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Breviaristatae"
"Festuca amethystina", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Festuca baffinensis", "yes", "1", "1", "Festuca baffinensis Polunin", "Polunin", "Festuca baffinensis", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca"
"Festuca brachyphylla", "yes", "1", "1", "Festuca brachyphylla Schultes & Schultes f.", "Schultes & Schultes f.", "Festuca brachyphylla", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca"
"Festuca brachyphylla subsp. brachyphylla", "yes", "1", "1", "Festuca brachyphylla Schultes & Schultes f. subsp. brachyphylla", "Schultes & Schultes f.", "Festuca brachyphylla subsp. brachyphylla", "subspecies", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca;Festuca brachyphylla"
"Festuca brachyphylla subsp. breviculmis", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Festuca brachyphylla subsp. coloradensis", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Festuca campestris", "yes", "1", "1", "Festuca campestris Rydberg", "Rydberg", "Festuca campestris", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Breviaristatae"
"Festuca filiformis", "yes", "1", "1", "Festuca filiformis Pourret", "Pourret", "Festuca filiformis", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca"
"Festuca frederikseniae", "yes", "1", "1", "Festuca frederikseniae E.B. Alexeev", "E.B. Alexeev", "Festuca frederikseniae", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca"
"Festuca glauca", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Festuca hallii", "yes", "1", "1", "Festuca hallii (Vasey) Piper", "(Vasey) Piper", "Festuca hallii", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Breviaristatae"
"Festuca idahoensis", "yes", "1", "1", "Festuca idahoensis Elmer", "Elmer", "Festuca idahoensis", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca"
"Festuca minutiflora", "yes", "1", "1", "Festuca minutiflora Rydberg", "Rydberg", "Festuca minutiflora", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca"
"Festuca occidentalis", "yes", "1", "1", "Festuca occidentalis Hooker", "Hooker", "Festuca occidentalis", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca"
"Festuca prolifera", "yes", "1", "1", "Festuca prolifera (Piper) Fernald", "(Piper) Fernald", "Festuca prolifera", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca"
"Festuca roemeri", "yes", "1", "1", "Festuca roemeri (Pavlick) E.B. Alexeev", "(Pavlick) E.B. Alexeev", "Festuca roemeri", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca"
"Festuca rubra", "yes", "1", "1", "Festuca rubra Linnaeus", "Linnaeus", "Festuca rubra", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca"
"Festuca rubra subsp. arctica", "yes", "1", "1", "Festuca rubra subsp. arctica (Hackel) Govorov", "(Hackel) Govorov", "Festuca rubra subsp. arctica", "subspecies", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca;Festuca rubra"
"Festuca rubra subsp. arenaria", "yes", "1", "1", "Festuca rubra subsp. arenaria (Osbeck) F. Areschoug", "(Osbeck) F. Areschoug", "Festuca rubra subsp. arenaria", "subspecies", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca;Festuca rubra"
"Festuca rubra subsp. aucta", "yes", "1", "1", "Festuca rubra subsp. aucta (V.I.Krecz. & Bobrov) Hultén", "(V.I.Krecz. & Bobrov) Hultén", "Festuca rubra subsp. aucta", "subspecies", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca;Festuca rubra"
"Festuca rubra subsp. commutata", "yes", "1", "1", "Festuca rubra subsp. commutata Gaudin", "Gaudin", "Festuca rubra subsp. commutata", "subspecies", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca;Festuca rubra"
"Festuca rubra subsp. fallax", "yes", "1", "1", "Festuca rubra subsp. fallax (Thuillier) Nyman", "(Thuillier) Nyman", "Festuca rubra subsp. fallax", "subspecies", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca;Festuca rubra"
"Festuca rubra subsp. mediana", "yes", "1", "1", "Festuca rubra subsp. mediana (Pavlick) Pavlick", "(Pavlick) Pavlick", "Festuca rubra subsp. mediana", "subspecies", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca;Festuca rubra"
"Festuca rubra subsp. pruinosa", "yes", "1", "1", "Festuca rubra subsp. pruinosa (Hackel) Piper", "(Hackel) Piper", "Festuca rubra subsp. pruinosa", "subspecies", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca;Festuca rubra"
"Festuca rubra subsp. rubra", "yes", "1", "1", "Festuca rubra Linnaeus subsp. rubra", "Linnaeus", "Festuca rubra subsp. rubra", "subspecies", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca;Festuca rubra"
"Festuca rubra subsp. secunda", "yes", "1", "1", "Festuca rubra subsp. secunda (J. Presl) Pavlick", "(J. Presl) Pavlick", "Festuca rubra subsp. secunda", "subspecies", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca;Festuca rubra"
"Festuca rubra subsp. vallicola", "yes", "1", "1", "Festuca rubra subsp. vallicola (Rydberg) Pavlick", "(Rydberg) Pavlick", "Festuca rubra subsp. vallicola", "subspecies", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca;Festuca rubra"
"Festuca saximontana", "yes", "1", "1", "Festuca saximontana Rydberg", "Rydberg", "Festuca saximontana", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca"
"Festuca saximontana var. purpusiana", "yes", "1", "1", "Festuca saximontana var. purpusiana (Saint-Yves) Frederiksen & Pavlick", "(Saint-Yves) Frederiksen & Pavlick", "Festuca saximontana var. purpusiana", "variety", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca;Festuca saximontana"
"Festuca saximontana var. robertsiana", "yes", "1", "1", "Festuca saximontana var. robertsiana Pavlick", "Pavlick", "Festuca saximontana var. robertsiana", "variety", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca;Festuca saximontana"
"Festuca saximontana var. saximontana", "yes", "1", "1", "Festuca saximontana Rydberg var. saximontana", "Rydberg", "Festuca saximontana var. saximontana", "variety", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca;Festuca saximontana"
"Festuca sect. Breviaristatae", "yes", "1", "1", "Festuca sect. Breviaristatae Krivotulenko", "Krivotulenko", "Festuca sect. Breviaristatae", "section", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca"
"Festuca sect. Elmera", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Festuca sect. Festuca", "yes", "1", "1", "Festuca sect. Festuca Linnaeus", "Linnaeus", "Festuca sect. Festuca", "section", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca"
"Festuca sect. Subulatae", "yes", "1", "1", "Festuca sect. Subulatae (Tzvelev) E.B. Alexeev", "(Tzvelev) E.B. Alexeev", "Festuca sect. Subulatae", "section", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Subulatae"
"Festuca sect. Subuliflorae", "yes", "1", "1", "Festuca sect. Subuliflorae (E.B. Alexeev) Darbyshire", "(E.B. Alexeev) Darbyshire", "Festuca sect. Subuliflorae", "section", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Subulatae"
"Festuca sect. Texanae", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Festuca subg. Festuca", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Festuca subg. Montanae", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Festuca subg. Obtusae", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Festuca subg. Subulatae", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Festuca subulata", "yes", "1", "1", "Festuca subulata Trinius", "Trinius", "Festuca subulata", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Subulatae;Festuca sect. Subulatae"
"Festuca trachyphylla", "yes", "1", "1", "Festuca trachyphylla (Hackel) Krajina", "(Hackel) Krajina", "Festuca trachyphylla", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca"
"Festuca viviparoidea", "yes", "1", "1", "Festuca viviparoidea Krajina ex Pavlick", "Krajina ex Pavlick", "Festuca viviparoidea", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca"
"Festuca viviparoidea subsp. krajinae", "yes", "1", "1", "Festuca viviparoidea subsp. krajinae Pavlick", "Pavlick", "Festuca viviparoidea subsp. krajinae", "subspecies", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca;Festuca viviparoidea"
"Festuca viviparoidea subsp. viviparoidea", "yes", "1", "1", "Festuca viviparoidea Krajina ex Pavlick subsp. viviparoidea", "Krajina ex Pavlick", "Festuca viviparoidea subsp. viviparoidea", "subspecies", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Loliinae;Festuca;Festuca subg. Festuca;Festuca sect. Festuca;Festuca viviparoidea"
"Fissidens adianthoides", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Fissidens bryoides", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Fissidens crispus", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Fissidens grandifrons", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Fissidens osmundioides", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Fissidens sublimbatus", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Fontinalis antipyretica", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Fontinalis hypnoides", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Fontinalis neomexicana", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Fontinalis sphagnifolia", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Fragaria vesca", "yes", "1", "1", "Fragaria vesca Linnaeus", "Linnaeus", "Fragaria vesca", "species", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Rosaceae;Rosoideae;Potentilleae;Fragaria"
"Fragaria vesca subsp. americana", "yes", "1", "1", "Fragaria vesca subsp. americana (Porter) Staudt", "(Porter) Staudt", "Fragaria vesca subsp. americana", "subspecies", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Rosaceae;Rosoideae;Potentilleae;Fragaria;Fragaria vesca"
"Fragaria vesca subsp. bracteata", "yes", "1", "1", "Fragaria vesca subsp. bracteata (A. Heller) Staudt", "(A. Heller) Staudt", "Fragaria vesca subsp. bracteata", "subspecies", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Rosaceae;Rosoideae;Potentilleae;Fragaria;Fragaria vesca"
"Fragaria virginiana", "yes", "1", "1", "Fragaria virginiana Miller", "Miller", "Fragaria virginiana", "species", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Rosaceae;Rosoideae;Potentilleae;Fragaria"
"Fragaria virginiana subsp. glauca", "yes", "1", "1", "Fragaria virginiana subsp. glauca (S. Watson) Staudt", "(S. Watson) Staudt", "Fragaria virginiana subsp. glauca", "subspecies", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Rosaceae;Rosoideae;Potentilleae;Fragaria;Fragaria virginiana"
"Fragaria virginiana subsp. platypetala", "yes", "1", "1", "Fragaria virginiana subsp. platypetala (Rydberg) Staudt", "(Rydberg) Staudt", "Fragaria virginiana subsp. platypetala", "subspecies", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Rosaceae;Rosoideae;Potentilleae;Fragaria;Fragaria virginiana"
"Fumaria officinalis", "yes", "1", "1", "Fumaria officinalis Linnaeus", "Linnaeus", "Fumaria officinalis", "species", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Ranunculanae;Ranunculales;Papaveraceae;Fumarioideae;Fumaria"
