"Taxon Name", "Match", "Number of Matches", "Match Number", "Matches", "Scientific Name Authorship", "Canonical Name", "Taxon Rank", "Name According To", "Taxonic Status", "Higher Classification"
"Acroptilon repens", "yes", "1", "1", "Rhaponticum repens (Linnaeus) Hidalgo", "(Linnaeus) A.P. de Candolle", "Acroptilon repens", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "synonym", "NULL"
"Actaea rubra", "yes", "1", "1", "Actaea rubra (Aiton) Willdenow", "(Aiton) Willdenow", "Actaea rubra", "species", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Ranunculanae;Ranunculales;Ranunculaceae;Ranunculoideae;Actaeeae;Actaea"
"Adenocaulon bicolor", "yes", "1", "1", "Adenocaulon bicolor W.J. Hooker", "W.J. Hooker", "Adenocaulon bicolor", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Mutisioideae;Mutisieae;Adenocaulon"
"Adiantum aleuticum", "yes", "1", "1", "Adiantum aleuticum (Ruprecht) C.A. Paris", "(Ruprecht) C.A. Paris", "Adiantum aleuticum", "species", "FNA Editorial Committee. 1993. Flora of North America north of Mexico. Volume 2: Pteridophytes and Gymnosperms. Oxford University Press, New York.", "accepted", "Equisetopsida;Polypodiidae;Polypodiales;Pteridaceae;Vittarioideae;Adiantum"
"Agoseris aurantiaca", "yes", "1", "1", "Agoseris aurantiaca (Hooker) Greene", "(Hooker) Greene", "Agoseris aurantiaca", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Cichorioideae;Cichorieae;Agoseris"
"Agoseris aurantiaca var. aurantiaca", "yes", "1", "1", "Agoseris aurantiaca (Hooker) Greene var. aurantiaca", "(Hooker) Greene", "Agoseris aurantiaca var. aurantiaca", "variety", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Cichorioideae;Cichorieae;Agoseris;Agoseris aurantiaca"
"Agoseris glauca", "yes", "1", "1", "Agoseris glauca (Pursh) Rafinesque", "(Pursh) Rafinesque", "Agoseris glauca", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Cichorioideae;Cichorieae;Agoseris"
"Agoseris glauca var. dasycephala", "yes", "1", "1", "Agoseris glauca var. dasycephala (Torrey & A. Gray) Jepson", "(Torrey & A. Gray) Jepson", "Agoseris glauca var. dasycephala", "variety", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Cichorioideae;Cichorieae;Agoseris;Agoseris glauca"
"Agoseris glauca var. glauca", "yes", "1", "1", "Agoseris glauca (Pursh) Rafinesque var. glauca", "(Pursh) Rafinesque", "Agoseris glauca var. glauca", "variety", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Cichorioideae;Cichorieae;Agoseris;Agoseris glauca"
"Agrimonia striata", "yes", "1", "1", "Agrimonia striata Michaux", "Michaux", "Agrimonia striata", "species", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Rosaceae;Rosoideae;Sanguisorbeae;Agrimonia"
