"Taxon Name", "Volume", "Match", "Number of Matches", "Match Number", "Matches", "Scientific Name Authorship", "Canonical Name", "Taxon Rank", "Name According To", "Taxonic Status", "Higher Classification"
"Carex lenticularis", "Volume 23", "yes", "1", "1", "Carex lenticularis Michaux", "Michaux", "Carex lenticularis", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Phacocystis"
"Carex lenticularis var. lenticularis", "Volume 23", "yes", "1", "1", "Carex lenticularis Michaux", "Michaux", "Carex lenticularis var. lenticularis", "variety", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "synonym", "NULL"
"Carex leptalea", "Volume 23", "yes", "1", "1", "Carex leptalea Wahlenberg", "Wahlenberg", "Carex leptalea", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Leptocephalae"
"Carex leptonervia", "Volume 23", "yes", "1", "1", "Carex leptonervia (Fernald) Fernald", "(Fernald) Fernald", "Carex leptonervia", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Laxiflorae"
"Carex limosa", "Volume 23", "yes", "1", "1", "Carex limosa Linnaeus", "Linnaeus", "Carex limosa", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Limosae"
"Carex livida", "Volume 23", "yes", "1", "1", "Carex livida (Wahlenberg) Willdenow", "(Wahlenberg) Willdenow", "Carex livida", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Paniceae"
"Carex loliacea", "Volume 23", "yes", "1", "1", "Carex loliacea Linnaeus", "Linnaeus", "Carex loliacea", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Glareosae"
"Carex longii", "Volume 23", "yes", "1", "1", "Carex longii Mackenzie", "Mackenzie", "Carex longii", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Ovales"
"Carex lucorum", "Volume 23", "yes", "1", "1", "Carex lucorum Willdenow ex Link", "Willdenow ex Link", "Carex lucorum", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Acrocystis"
"Carex lucorum var. lucorum", "Volume 23", "yes", "1", "1", "Carex lucorum Willdenow ex Link", "Willdenow ex Link", "Carex lucorum var. lucorum", "variety", "Poindexter, D.B. & R.F.C. Naczi. 2014. Taxonomy and geographic distribution of Carex lucorum var. austrolucorum (section Acrocystis, Cyperaceae). Brittonia 66: 358-370", "synonym", "NULL"
"Carex lupuliformis", "Volume 23", "yes", "1", "1", "Carex lupuliformis Sartwell ex Dewey", "Sartwell ex Dewey", "Carex lupuliformis", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Lupulinae"
"Carex lupulina", "Volume 23", "yes", "1", "1", "Carex lupulina Muhlenberg ex Willdenow", "Muhlenberg ex Willdenow", "Carex lupulina", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Lupulinae"
"Carex lurida", "Volume 23", "yes", "1", "1", "Carex lurida Wahlenberg", "Wahlenberg", "Carex lurida", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Vesicariae"
"Carex mackenziei", "Volume 23", "yes", "1", "1", "Carex mackenziei V.I. Kreczetowicz", "V.I. Kreczetowicz", "Carex mackenziei", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Glareosae"
"Carex magellanica", "Volume 23", "yes", "1", "1", "Carex magellanica Lamarck", "Lamarck", "Carex magellanica", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Limosae"
"Carex magellanica subsp. irrigua", "Volume 23", "yes", "1", "1", "Carex magellanica subsp. irrigua (Wahlenberg) Hiitonen", "(Wahlenberg) Hiitonen", "Carex magellanica subsp. irrigua", "subspecies", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Limosae;Carex magellanica"
"Carex maritima", "Volume 23", "yes", "2", "1", "Carex maritima Gunnerus", "Gunnerus", "Carex maritima", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Foetidae"
"Carex maritima", "Volume 23", "yes", "2", "2", "Carex paleacea Schreber ex Wahlenberg", "O.F. Müller nom. illeg.", "Carex maritima", "species", "", "synonym", "NULL"
"Carex meadii", "Volume 23", "yes", "1", "1", "Carex meadii Dewey", "Dewey", "Carex meadii", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Paniceae"
"Carex media", "Volume 23", "yes", "1", "1", "Carex media R. Brown", "R. Brown", "Carex media", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Racemosae"
"Carex merritt-fernaldii", "Volume 23", "yes", "1", "1", "Carex merritt-fernaldii Mackenzie", "Mackenzie", "Carex merritt-fernaldii", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Ovales"
"Carex mesochorea", "Volume 23", "yes", "1", "1", "Carex mesochorea Mackenzie", "Mackenzie", "Carex mesochorea", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Phaestoglochin"
"Carex michauxiana", "Volume 23", "yes", "1", "1", "Carex michauxiana Boeckeler", "Boeckeler", "Carex michauxiana", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Rostrales"
"Carex microglochin", "Volume 23", "yes", "1", "1", "Carex microglochin Wahlenberg", "Wahlenberg", "Carex microglochin", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Leucoglochin"
"Carex microglochin subsp. microglochin", "Volume 23", "yes", "1", "1", "Carex microglochin Wahlenberg", "Wahlenberg", "Carex microglochin subsp. microglochin", "subspecies", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "synonym", "NULL"
"Carex molesta", "Volume 23", "yes", "1", "1", "Carex molesta Mackenzie ex Bright", "Mackenzie ex Bright", "Carex molesta", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Ovales"
"Carex muehlenbergii", "Volume 23", "yes", "1", "1", "Carex muehlenbergii Schkuhr ex Willdenow", "Schkuhr ex Willdenow", "Carex muehlenbergii", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Phaestoglochin"
"Carex muehlenbergii var. enervis", "Volume 23", "yes", "1", "1", "Carex muehlenbergii var. enervis Boott", "Boott", "Carex muehlenbergii var. enervis", "variety", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Phaestoglochin;Carex muehlenbergii"
"Carex muehlenbergii var. muehlenbergii", "Volume 23", "yes", "1", "1", "Carex muehlenbergii Schkuhr ex Willdenow var. muehlenbergii", "Schkuhr ex Willdenow", "Carex muehlenbergii var. muehlenbergii", "variety", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Phaestoglochin;Carex muehlenbergii"
"Carex muricata", "Volume 23", "yes", "1", "1", "Carex muricata Linnaeus", "Linnaeus", "Carex muricata", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Phaestoglochin"
"Carex muricata subsp. lamprocarpa", "Volume 23", "yes", "1", "1", "Carex muricata subsp. lamprocarpa Celakovsky", "Celakovsky", "Carex muricata subsp. lamprocarpa", "subspecies", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Phaestoglochin;Carex muricata"
"Carex muskingumensis", "Volume 23", "yes", "1", "1", "Carex muskingumensis Schweinitz", "Schweinitz", "Carex muskingumensis", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Ovales"
"Carex nardina", "Volume 23", "yes", "1", "1", "Carex nardina Fries", "Fries", "Carex nardina", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Nardinae"
"Carex nigromarginata", "Volume 23", "yes", "1", "1", "Carex nigromarginata Schweinitz", "Schweinitz", "Carex nigromarginata", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Acrocystis"
"Carex normalis", "Volume 23", "yes", "1", "1", "Carex normalis Mackenzie", "Mackenzie", "Carex normalis", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Ovales"
"Carex norvegica", "Volume 23", "yes", "2", "1", "Carex norvegica Retzius", "Retzius", "Carex norvegica", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Racemosae"
"Carex norvegica", "Volume 23", "yes", "2", "2", "Carex mackenziei V.I. Kreczetowicz", "Willdenow ex Schkuhr nom. illeg.", "Carex norvegica", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "synonym", "NULL"
"Carex novae-angliae", "Volume 23", "yes", "1", "1", "Carex novae-angliae Schweinitz", "Schweinitz", "Carex novae-angliae", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Acrocystis"
"Carex obtusata", "Volume 23", "yes", "1", "1", "Carex obtusata Liljeblad", "Liljeblad", "Carex obtusata", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Obtusatae"
"Carex oligocarpa", "Volume 23", "yes", "1", "1", "Carex oligocarpa Willdenow", "Willdenow", "Carex oligocarpa", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Griseae"
"Carex oligosperma", "Volume 23", "yes", "1", "1", "Carex oligosperma Michaux", "Michaux", "Carex oligosperma", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Vesicariae"
"Carex ormostachya", "Volume 23", "yes", "1", "1", "Carex ormostachya Wiegand", "Wiegand", "Carex ormostachya", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Laxiflorae"
"Carex paleacea", "Volume 23", "yes", "1", "1", "Carex paleacea Schreber ex Wahlenberg", "Schreber ex Wahlenberg", "Carex paleacea", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Phacocystis"
"Carex pallescens", "Volume 23", "yes", "1", "1", "Carex pallescens Linnaeus", "Linnaeus", "Carex pallescens", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Porocystis"
"Carex parryana", "Volume 23", "yes", "1", "1", "Carex parryana Dewey", "Dewey", "Carex parryana", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Racemosae"
"Carex pauciflora", "Volume 23", "yes", "1", "1", "Carex pauciflora Lightfoot", "Lightfoot", "Carex pauciflora", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Leucoglochin"
"Carex peckii", "Volume 23", "yes", "1", "1", "Carex peckii Howe", "Howe", "Carex peckii", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Acrocystis"
"Carex pedunculata", "Volume 23", "yes", "1", "1", "Carex pedunculata Muhlenberg ex Willdenow", "Muhlenberg ex Willdenow", "Carex pedunculata", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Clandestinae"
"Carex pellita", "Volume 23", "yes", "1", "1", "Carex pellita Muhlenberg ex Willdenow", "Muhlenberg ex Willdenow", "Carex pellita", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Paludosae"
"Carex pensylvanica", "Volume 23", "yes", "1", "1", "Carex pensylvanica Lamarck", "Lamarck", "Carex pensylvanica", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Acrocystis"
"Carex plantaginea", "Volume 23", "yes", "1", "1", "Carex plantaginea Lamarck", "Lamarck", "Carex plantaginea", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Careyanae"
"Carex platyphylla", "Volume 23", "yes", "1", "1", "Carex platyphylla J. Carey", "J. Carey", "Carex platyphylla", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Careyanae"
"Carex praegracilis", "Volume 23", "yes", "1", "1", "Carex praegracilis W. Boott", "W. Boott", "Carex praegracilis", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Divisae"
"Carex prairea", "Volume 23", "yes", "1", "1", "Carex prairea Dewey", "Dewey", "Carex prairea", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Heleoglochin"
"Carex prasina", "Volume 23", "yes", "1", "1", "Carex prasina Wahlenberg", "Wahlenberg", "Carex prasina", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Hymenochlaenae"
"Carex praticola", "Volume 23", "yes", "1", "1", "Carex praticola Rydberg", "Rydberg", "Carex praticola", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Ovales"
"Carex projecta", "Volume 23", "yes", "1", "1", "Carex projecta Mackenzie", "Mackenzie", "Carex projecta", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Ovales"
"Carex pseudocyperus", "Volume 23", "yes", "1", "1", "Carex pseudocyperus Linnaeus", "Linnaeus", "Carex pseudocyperus", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Vesicariae"
"Carex radiata", "Volume 23", "yes", "1", "1", "Carex radiata (Wahlenberg) Small", "(Wahlenberg) Small", "Carex radiata", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Phaestoglochin"
"Carex rariflora", "Volume 23", "yes", "1", "1", "Carex rariflora (Wahlenberg) Smith", "(Wahlenberg) Smith", "Carex rariflora", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Limosae"
"Carex recta", "Volume 23", "yes", "1", "1", "Carex recta Boott", "Boott", "Carex recta", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Phacocystis"
"Carex retroflexa", "Volume 23", "yes", "1", "1", "Carex retroflexa Muhlenberg ex Willdenow", "Muhlenberg ex Willdenow", "Carex retroflexa", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Phaestoglochin"
"Carex retrorsa", "Volume 23", "yes", "1", "1", "Carex retrorsa Schweinitz", "Schweinitz", "Carex retrorsa", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Vesicariae"
"Carex richardsonii", "Volume 23", "yes", "1", "1", "Carex richardsonii R. Brown", "R. Brown", "Carex richardsonii", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Clandestinae"
"Carex rosea", "Volume 23", "yes", "2", "1", "Carex radiata (Wahlenberg) Small", "auct. non Schkuhr ex Willdenow", "Carex rosea", "species", "", "synonym", "NULL"
"Carex rosea", "Volume 23", "yes", "2", "2", "Carex rosea Schkuhr ex Willdenow", "Schkuhr ex Willdenow", "Carex rosea", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Phaestoglochin"
"Carex rossii", "Volume 23", "yes", "1", "1", "Carex rossii Boott", "Boott", "Carex rossii", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Acrocystis"
"Carex rostrata", "Volume 23", "yes", "2", "1", "Carex rostrata Stokes nom. cons.", "Stokes nom. cons.", "Carex rostrata", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Vesicariae"
"Carex rostrata", "Volume 23", "yes", "2", "2", "Carex michauxiana Boeckeler", "Michaux nom. illeg.", "Carex rostrata", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "synonym", "NULL"
"Carex rupestris", "Volume 23", "yes", "1", "1", "Carex rupestris Allioni", "Allioni", "Carex rupestris", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Rupestres"
"Carex salina", "Volume 23", "yes", "1", "1", "Carex salina Wahlenberg", "Wahlenberg", "Carex salina", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Phacocystis"
"Carex sartwellii", "Volume 23", "yes", "1", "1", "Carex sartwellii Dewey", "Dewey", "Carex sartwellii", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Holarrhenae"
"Carex saxatilis", "Volume 23", "yes", "1", "1", "Carex saxatilis Linnaeus", "Linnaeus", "Carex saxatilis", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Vesicariae"
"Carex saximontana", "Volume 23", "yes", "1", "1", "Carex saximontana Mackenzie", "Mackenzie", "Carex saximontana", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Phyllostachyae"
"Carex scabrata", "Volume 23", "yes", "1", "1", "Carex scabrata Schweinitz", "Schweinitz", "Carex scabrata", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Anomalae"
"Carex schweinitzii", "Volume 23", "yes", "1", "1", "Carex schweinitzii Dewey ex Schweinitz", "Dewey ex Schweinitz", "Carex schweinitzii", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Caricoideae;Carex;Carex sect. Vesicariae"
