"","Volume","Taxon name"
"Anaphalis margaritacea","Volume 19","Anaphalis margaritacea"
"Andreaea blyttii","Volume 27","Andreaea blyttii"
"Andreaea rupestris","Volume 27","Andreaea rupestris"
"Andromeda polifolia","Volume 8","Andromeda polifolia"
"Andromeda polifolia var. latifolia","Volume 8","Andromeda polifolia var. latifolia"
"Andromeda polifolia var. polifolia","Volume 8","Andromeda polifolia var. polifolia"
"Andropogon","Volume 25","Andropogon"
"Andropogon gerardii","Volume 25","Andropogon gerardii"
"Andropogon liebmannii","Volume 25","Andropogon liebmannii"
"Andropogon sect. Andropogon","Volume 25","Andropogon sect. Andropogon"
"Andropogon sect. Leptopogon","Volume 25","Andropogon sect. Leptopogon"
"Androsace septentrionalis","Volume 8","Androsace septentrionalis"
"Anemone acutiloba","Volume 3","Anemone acutiloba"
"Anemone americana","Volume 3","Anemone americana"
"Anemone canadensis","Volume 3","Anemone canadensis"
"Anemone cylindrica","Volume 3","Anemone cylindrica"
"Anemone multifida","Volume 3","Anemone multifida"
"Anemone multifida var. multifida","Volume 3","Anemone multifida var. multifida"
"Anemone parviflora","Volume 3","Anemone parviflora"
"Anemone quinquefolia","Volume 3","Anemone quinquefolia"
"Anemone quinquefolia var. quinquefolia","Volume 3","Anemone quinquefolia var. quinquefolia"
"Anemone richardsonii","Volume 3","Anemone richardsonii"
"Anemone virginiana","Volume 3","Anemone virginiana"
"Anemone virginiana var. alba","Volume 3","Anemone virginiana var. alba"
"Anemone virginiana var. cylindroidea","Volume 3","Anemone virginiana var. cylindroidea"
"Anemone virginiana var. virginiana","Volume 3","Anemone virginiana var. virginiana"
"Anomobryum concinnatum","Volume 28","Anomobryum concinnatum"
"Anomodon attenuatus","Volume 28","Anomodon attenuatus"
"Anomodon minor","Volume 28","Anomodon minor"
"Anomodon rostratus","Volume 28","Anomodon rostratus"
"Anomodon rugelii","Volume 28","Anomodon rugelii"
"Anomodon tristis","Volume 28","Anomodon tristis"
"Anomodon viticulosus","Volume 28","Anomodon viticulosus"
