"","Volume","Taxon name"
"Bryhnia novae-angliae","Volume 28","Bryhnia novae-angliae"
"Bryoerythrophyllum recurvirostrum","Volume 27","Bryoerythrophyllum recurvirostrum"
"Bryum argenteum var. argenteum","Volume 28","Bryum argenteum var. argenteum"
"Bryum lanatum","Volume 28","Bryum lanatum"
"Bucklandiella microcarpa","Volume 27","Bucklandiella microcarpa"
"Bucklandiella sudetica","Volume 27","Bucklandiella sudetica"
"Cakile edentula var. edentula","Volume 7","Cakile edentula var. edentula"
"Calamagrostis","Volume 24","Calamagrostis"
"Calamagrostis canadensis","Volume 24","Calamagrostis canadensis"
"Calamagrostis canadensis var. canadensis","Volume 24","Calamagrostis canadensis var. canadensis"
"Calamagrostis canadensis var. langsdorffii","Volume 24","Calamagrostis canadensis var. langsdorffii"
"Calamagrostis cinnoides","Volume 24","Calamagrostis cinnoides"
"Calamagrostis epigejos","Volume 24","Calamagrostis epigejos"
"Calamagrostis pickeringii","Volume 24","Calamagrostis pickeringii"
"Calamagrostis stricta","Volume 24","Calamagrostis stricta"
"Calamagrostis stricta subsp. inexpansa","Volume 24","Calamagrostis stricta subsp. inexpansa"
"Calamagrostis stricta subsp. stricta","Volume 24","Calamagrostis stricta subsp. stricta"
"Calamagrostis ×acutiflora","Volume 24","Calamagrostis ×acutiflora"
"Calla palustris","Volume 22","Calla palustris"
"Calliergon cordifolium","Volume 28","Calliergon cordifolium"
"Calliergon giganteum","Volume 28","Calliergon giganteum"
"Calliergon richardsonii","Volume 28","Calliergon richardsonii"
"Calliergonella cuspidata","Volume 28","Calliergonella cuspidata"
"Calypso bulbosa var. americana","Volume 26","Calypso bulbosa var. americana"
"Camelina microcarpa","Volume 7","Camelina microcarpa"
"Campyliadelphus chrysophyllus","Volume 28","Campyliadelphus chrysophyllus"
"Campylium stellatum","Volume 28","Campylium stellatum"
"Campylophyllum halleri","Volume 28","Campylophyllum halleri"
"Campylophyllum hispidulum","Volume 28","Campylophyllum hispidulum"
"Capsella bursa-pastoris","Volume 7","Capsella bursa-pastoris"
"Cardamine nymanii","Volume 7","Cardamine nymanii"
"Cardamine pensylvanica","Volume 7","Cardamine pensylvanica"
"Carex adelostoma","Volume 23","Carex adelostoma"
"Carex aquatilis var. aquatilis","Volume 23","Carex aquatilis var. aquatilis"
"Carex arctata","Volume 23","Carex arctata"
"Carex atratiformis","Volume 23","Carex atratiformis"
"Carex atrofusca","Volume 23","Carex atrofusca"
"Carex bebbii","Volume 23","Carex bebbii"
"Carex bigelowii subsp. bigelowii","Volume 23","Carex bigelowii subsp. bigelowii"
"Carex brunnescens subsp. brunnescens","Volume 23","Carex brunnescens subsp. brunnescens"
"Carex brunnescens subsp. sphaerostachya","Volume 23","Carex brunnescens subsp. sphaerostachya"
"Carex buxbaumii","Volume 23","Carex buxbaumii"
"Carex canescens subsp. canescens","Volume 23","Carex canescens subsp. canescens"
"Carex canescens subsp. disjuncta","Volume 23","Carex canescens subsp. disjuncta"
"Carex capillaris","Volume 23","Carex capillaris"
"Carex capitata","Volume 23","Carex capitata"
"Carex castanea","Volume 23","Carex castanea"
"Carex chordorrhiza","Volume 23","Carex chordorrhiza"
"Carex communis var. communis","Volume 23","Carex communis var. communis"
"Carex concinna","Volume 23","Carex concinna"
"Carex conoidea","Volume 23","Carex conoidea"
"Carex crawfordii","Volume 23","Carex crawfordii"
"Carex cryptolepis","Volume 23","Carex cryptolepis"
"Carex cumulata","Volume 23","Carex cumulata"
"Carex debilis var. rudgei","Volume 23","Carex debilis var. rudgei"
"Carex deflexa var. deflexa","Volume 23","Carex deflexa var. deflexa"
"Carex deweyana var. deweyana","Volume 23","Carex deweyana var. deweyana"
"Carex diandra","Volume 23","Carex diandra"
"Carex disperma","Volume 23","Carex disperma"
"Carex eburnea","Volume 23","Carex eburnea"
"Carex flava","Volume 23","Carex flava"
"Carex foenea","Volume 23","Carex foenea"
"Carex folliculata","Volume 23","Carex folliculata"
"Carex glacialis","Volume 23","Carex glacialis"
"Carex glareosa subsp. glareosa","Volume 23","Carex glareosa subsp. glareosa"
"Carex gracillima","Volume 23","Carex gracillima"
"Carex gynocrates","Volume 23","Carex gynocrates"
"Carex heleonastes","Volume 23","Carex heleonastes"
"Carex holostoma","Volume 23","Carex holostoma"
"Carex hostiana","Volume 23","Carex hostiana"
"Carex houghtoniana","Volume 23","Carex houghtoniana"
"Carex hystericina","Volume 23","Carex hystericina"
"Carex intumescens","Volume 23","Carex intumescens"
"Carex lachenalii","Volume 23","Carex lachenalii"
"Carex lasiocarpa","Volume 23","Carex lasiocarpa"
"Carex lenticularis var. lenticularis","Volume 23","Carex lenticularis var. lenticularis"
"Carex leptalea","Volume 23","Carex leptalea"
"Carex leptonervia","Volume 23","Carex leptonervia"
"Carex limosa","Volume 23","Carex limosa"
"Carex livida","Volume 23","Carex livida"
"Carex lurida","Volume 23","Carex lurida"
"Carex mackenziei","Volume 23","Carex mackenziei"
"Carex magellanica subsp. irrigua","Volume 23","Carex magellanica subsp. irrigua"
"Carex marina","Volume 23","Carex marina"
"Carex maritima","Volume 23","Carex maritima"
"Carex membranacea","Volume 23","Carex membranacea"
"Carex michauxiana","Volume 23","Carex michauxiana"
"Carex microglochin subsp. microglochin","Volume 23","Carex microglochin subsp. microglochin"
"Carex nardina","Volume 23","Carex nardina"
"Carex nigra","Volume 23","Carex nigra"
"Carex norvegica","Volume 23","Carex norvegica"
"Carex novae-angliae","Volume 23","Carex novae-angliae"
"Carex oligosperma","Volume 23","Carex oligosperma"
"Carex paleacea","Volume 23","Carex paleacea"
"Carex pallescens","Volume 23","Carex pallescens"
"Carex panicea","Volume 23","Carex panicea"
"Carex pauciflora","Volume 23","Carex pauciflora"
"Carex pedunculata","Volume 23","Carex pedunculata"
"Carex petricosa var. misandroides","Volume 23","Carex petricosa var. misandroides"
"Carex praticola","Volume 23","Carex praticola"
"Carex projecta","Volume 23","Carex projecta"
"Carex rariflora","Volume 23","Carex rariflora"
"Carex recta","Volume 23","Carex recta"
"Carex rostrata","Volume 23","Carex rostrata"
"Carex rotundata","Volume 23","Carex rotundata"
"Carex rupestris","Volume 23","Carex rupestris"
"Carex salina","Volume 23","Carex salina"
"Carex saxatilis","Volume 23","Carex saxatilis"
"Carex scirpoidea subsp. scirpoidea","Volume 23","Carex scirpoidea subsp. scirpoidea"
"Carex stipata var. stipata","Volume 23","Carex stipata var. stipata"
"Carex stylosa","Volume 23","Carex stylosa"
"Carex subspathacea","Volume 23","Carex subspathacea"
"Carex tenuiflora","Volume 23","Carex tenuiflora"
"Carex tonsa var. tonsa","Volume 23","Carex tonsa var. tonsa"
"Carex trisperma","Volume 23","Carex trisperma"
"Carex umbellata","Volume 23","Carex umbellata"
"Carex utriculata","Volume 23","Carex utriculata"
"Carex vacillans","Volume 23","Carex vacillans"
"Carex vaginata","Volume 23","Carex vaginata"
"Carex vesicaria","Volume 23","Carex vesicaria"
"Carex viridula subsp. oedocarpa","Volume 23","Carex viridula subsp. oedocarpa"
"Carex viridula var. elatior","Volume 23","Carex viridula var. elatior"
"Carex viridula var. saxilittoralis","Volume 23","Carex viridula var. saxilittoralis"
"Carex viridula var. viridula","Volume 23","Carex viridula var. viridula"
"Carex vulpinoidea","Volume 23","Carex vulpinoidea"
"Carex wiegandii","Volume 23","Carex wiegandii"
"Carex williamsii","Volume 23","Carex williamsii"
"Cassiope tetragona","Volume 8","Cassiope tetragona"
"Castilleja septentrionalis","Volume 17","Castilleja septentrionalis"
"Catabrosa","Volume 24","Catabrosa"
"Catabrosa aquatica","Volume 24","Catabrosa aquatica"
"Centaurea ×moncktonii","Volume 19","Centaurea ×moncktonii"
"Cerastium alpinum subsp. alpinum","Volume 5","Cerastium alpinum subsp. alpinum"
"Cerastium alpinum subsp. lanatum","Volume 5","Cerastium alpinum subsp. lanatum"
"Cerastium arvense subsp. strictum","Volume 5","Cerastium arvense subsp. strictum"
"Cerastium beeringianum","Volume 5","Cerastium beeringianum"
"Cerastium cerastoides","Volume 5","Cerastium cerastoides"
"Cerastium fontanum subsp. vulgare","Volume 5","Cerastium fontanum subsp. vulgare"
"Ceratodon purpureus subsp. purpureus","Volume 27","Ceratodon purpureus subsp. purpureus"
