"","Volume","Taxon name"
"Ammophila breviligulata","Volume 24","Ammophila breviligulata"
"Ammophila breviligulata subsp. breviligulata","Volume 24","Ammophila breviligulata subsp. breviligulata"
"Ammophila breviligulata subsp. champlainensis","Volume 24","Ammophila breviligulata subsp. champlainensis"
"Amphidium lapponicum","Volume 28","Amphidium lapponicum"
"Amphidium mougeotii","Volume 28","Amphidium mougeotii"
"Anacamptodon splachnoides","Volume 28","Anacamptodon splachnoides"
"Anagallis arvensis","Volume 8","Anagallis arvensis"
"Anaphalis margaritacea","Volume 19","Anaphalis margaritacea"
"Andreaea rothii","Volume 27","Andreaea rothii"
"Andreaea rupestris","Volume 27","Andreaea rupestris"
"Andromeda polifolia","Volume 8","Andromeda polifolia"
"Andromeda polifolia var. latifolia","Volume 8","Andromeda polifolia var. latifolia"
"Andromeda polifolia var. polifolia","Volume 8","Andromeda polifolia var. polifolia"
"Andropogon","Volume 25","Andropogon"
"Andropogon gerardii","Volume 25","Andropogon gerardii"
"Andropogon liebmannii","Volume 25","Andropogon liebmannii"
"Andropogon sect. Andropogon","Volume 25","Andropogon sect. Andropogon"
"Andropogon sect. Leptopogon","Volume 25","Andropogon sect. Leptopogon"
"Andropogon virginicus","Volume 25","Andropogon virginicus"
"Andropogon virginicus var. glaucus","Volume 25","Andropogon virginicus var. glaucus"
"Andropogon virginicus var. virginicus","Volume 25","Andropogon virginicus var. virginicus"
"Androsace occidentalis","Volume 8","Androsace occidentalis"
"Androsace septentrionalis","Volume 8","Androsace septentrionalis"
"Anemone acutiloba","Volume 3","Anemone acutiloba"
"Anemone americana","Volume 3","Anemone americana"
"Anemone canadensis","Volume 3","Anemone canadensis"
"Anemone cylindrica","Volume 3","Anemone cylindrica"
"Anemone multifida","Volume 3","Anemone multifida"
"Anemone multifida var. multifida","Volume 3","Anemone multifida var. multifida"
"Anemone parviflora","Volume 3","Anemone parviflora"
"Anemone patens","Volume 3","Anemone patens"
"Anemone patens var. multifida","Volume 3","Anemone patens var. multifida"
"Anemone quinquefolia","Volume 3","Anemone quinquefolia"
"Anemone quinquefolia var. quinquefolia","Volume 3","Anemone quinquefolia var. quinquefolia"
"Anemone virginiana","Volume 3","Anemone virginiana"
"Anemone virginiana var. alba","Volume 3","Anemone virginiana var. alba"
"Anemone virginiana var. cylindroidea","Volume 3","Anemone virginiana var. cylindroidea"
"Anemone virginiana var. virginiana","Volume 3","Anemone virginiana var. virginiana"
"Anoda cristata","Volume 6","Anoda cristata"
"Anomodon attenuatus","Volume 28","Anomodon attenuatus"
"Anomodon minor","Volume 28","Anomodon minor"
"Anomodon rostratus","Volume 28","Anomodon rostratus"
"Anomodon rugelii","Volume 28","Anomodon rugelii"
"Anomodon tristis","Volume 28","Anomodon tristis"
"Anomodon viticulosus","Volume 28","Anomodon viticulosus"
"Antennaria alpina","Volume 19","Antennaria alpina"
"Antennaria howellii","Volume 19","Antennaria howellii"
"Antennaria howellii subsp. canadensis","Volume 19","Antennaria howellii subsp. canadensis"
"Antennaria howellii subsp. howellii","Volume 19","Antennaria howellii subsp. howellii"
"Antennaria howellii subsp. neodioica","Volume 19","Antennaria howellii subsp. neodioica"
"Antennaria howellii subsp. petaloidea","Volume 19","Antennaria howellii subsp. petaloidea"
"Antennaria microphylla","Volume 19","Antennaria microphylla"
"Antennaria neglecta","Volume 19","Antennaria neglecta"
"Antennaria parlinii","Volume 19","Antennaria parlinii"
"Antennaria parlinii subsp. fallax","Volume 19","Antennaria parlinii subsp. fallax"
"Antennaria parlinii subsp. parlinii","Volume 19","Antennaria parlinii subsp. parlinii"
"Antennaria parvifolia","Volume 19","Antennaria parvifolia"
"Antennaria pulcherrima","Volume 19","Antennaria pulcherrima"
"Antennaria pulcherrima subsp. pulcherrima","Volume 19","Antennaria pulcherrima subsp. pulcherrima"
"Antennaria rosea","Volume 19","Antennaria rosea"
"Antennaria rosea subsp. confinis","Volume 19","Antennaria rosea subsp. confinis"
"Antennaria rosea subsp. rosea","Volume 19","Antennaria rosea subsp. rosea"
"Anthemis arvensis","Volume 19","Anthemis arvensis"
"Anthemis cotula","Volume 19","Anthemis cotula"
"Anthoxanthum","Volume 24","Anthoxanthum"
"Anthoxanthum arcticum","Volume 24","Anthoxanthum arcticum"
"Anthoxanthum hirtum","Volume 24","Anthoxanthum hirtum"
