"","Volume","Taxon name"
"Antennaria howellii subsp. petaloidea","Volume 19","Antennaria howellii subsp. petaloidea"
"Antennaria neglecta","Volume 19","Antennaria neglecta"
"Antennaria parlinii","Volume 19","Antennaria parlinii"
"Antennaria parlinii subsp. parlinii","Volume 19","Antennaria parlinii subsp. parlinii"
"Antennaria plantaginifolia","Volume 19","Antennaria plantaginifolia"
"Anthemis arvensis","Volume 19","Anthemis arvensis"
"Anthemis cotula","Volume 19","Anthemis cotula"
"Anthoxanthum","Volume 24","Anthoxanthum"
"Anthoxanthum arcticum","Volume 24","Anthoxanthum arcticum"
"Anthoxanthum hirtum","Volume 24","Anthoxanthum hirtum"
"Anthoxanthum nitens","Volume 24","Anthoxanthum nitens"
"Anthoxanthum occidentale","Volume 24","Anthoxanthum occidentale"
"Anthoxanthum odoratum","Volume 24","Anthoxanthum odoratum"
"Aphanes arvensis","Volume 9","Aphanes arvensis"
"Aquilegia vulgaris","Volume 3","Aquilegia vulgaris"
"Arabis pycnocarpa","Volume 7","Arabis pycnocarpa"
"Arabis pycnocarpa var. pycnocarpa","Volume 7","Arabis pycnocarpa var. pycnocarpa"
"Arceuthobium pusillum","Volume 12","Arceuthobium pusillum"
"Arctium minus","Volume 19","Arctium minus"
"Arctium tomentosum","Volume 19","Arctium tomentosum"
"Arctoa fulvella","Volume 27","Arctoa fulvella"
"Arctostaphylos uva-ursi","Volume 8","Arctostaphylos uva-ursi"
"Arenaria humifusa","Volume 5","Arenaria humifusa"
"Arenaria serpyllifolia","Volume 5","Arenaria serpyllifolia"
"Arenaria serpyllifolia var. serpyllifolia","Volume 5","Arenaria serpyllifolia var. serpyllifolia"
"Arethusa bulbosa","Volume 26","Arethusa bulbosa"
"Arisaema triphyllum","Volume 22","Arisaema triphyllum"
"Armoracia rusticana","Volume 7","Armoracia rusticana"
"Arnica lonchophylla","Volume 21","Arnica lonchophylla"
"Arnoseris minima","Volume 19","Arnoseris minima"
"Aronia arbutifolia","Volume 9","Aronia arbutifolia"
"Aronia melanocarpa","Volume 9","Aronia melanocarpa"
"Arrhenatherum","Volume 24","Arrhenatherum"
"Arrhenatherum elatius","Volume 24","Arrhenatherum elatius"
"Arrhenopterum heterostichum","Volume 28","Arrhenopterum heterostichum"
"Artemisia absinthium","Volume 19","Artemisia absinthium"
"Artemisia biennis","Volume 19","Artemisia biennis"
"Artemisia pontica","Volume 19","Artemisia pontica"
"Artemisia stelleriana","Volume 19","Artemisia stelleriana"
"Artemisia vulgaris","Volume 19","Artemisia vulgaris"
"Aruncus dioicus","Volume 9","Aruncus dioicus"
"Aruncus dioicus var. vulgaris","Volume 9","Aruncus dioicus var. vulgaris"
"Asparagus officinalis","Volume 26","Asparagus officinalis"
"Asplenium trichomanes","Volume 2","Asplenium trichomanes"
"Asplenium trichomanes subsp. trichomanes","Volume 2","Asplenium trichomanes subsp. trichomanes"
"Asplenium trichomanes-ramosum","Volume 2","Asplenium trichomanes-ramosum"
"Athyrium filix-femina","Volume 2","Athyrium filix-femina"
"Athyrium filix-femina var. angustum","Volume 2","Athyrium filix-femina var. angustum"
"Atrichum altecristatum","Volume 27","Atrichum altecristatum"
"Atrichum angustatum","Volume 27","Atrichum angustatum"
"Atrichum crispulum","Volume 27","Atrichum crispulum"
"Atrichum crispum","Volume 27","Atrichum crispum"
"Atrichum undulatum","Volume 27","Atrichum undulatum"
"Atriplex dioica","Volume 4","Atriplex dioica"
"Atriplex glabriuscula","Volume 4","Atriplex glabriuscula"
"Atriplex glabriuscula var. acadiensis","Volume 4","Atriplex glabriuscula var. acadiensis"
"Atriplex glabriuscula var. franktonii","Volume 4","Atriplex glabriuscula var. franktonii"
"Atriplex glabriuscula var. glabriuscula","Volume 4","Atriplex glabriuscula var. glabriuscula"
"Atriplex laciniata","Volume 4","Atriplex laciniata"
"Atriplex littoralis","Volume 4","Atriplex littoralis"
"Atriplex patula","Volume 4","Atriplex patula"
"Atriplex prostrata","Volume 4","Atriplex prostrata"
"Atriplex rosea","Volume 4","Atriplex rosea"
"Aulacomnium androgynum","Volume 28","Aulacomnium androgynum"
"Aulacomnium palustre","Volume 28","Aulacomnium palustre"
"Avena","Volume 24","Avena"
"Avena fatua","Volume 24","Avena fatua"
"Avena sativa","Volume 24","Avena sativa"
"Axyris amaranthoides","Volume 4","Axyris amaranthoides"
"Baccharis halimifolia","Volume 20","Baccharis halimifolia"
"Barbarea vulgaris","Volume 7","Barbarea vulgaris"
"Barbula convoluta var. convoluta","Volume 27","Barbula convoluta var. convoluta"
"Barbula unguiculata","Volume 27","Barbula unguiculata"
"Bartramia pomiformis","Volume 28","Bartramia pomiformis"
"Beckmannia","Volume 24","Beckmannia"
"Beckmannia syzigachne","Volume 24","Beckmannia syzigachne"
"Bellis perennis","Volume 20","Bellis perennis"
"Berberis thunbergii","Volume 3","Berberis thunbergii"
"Berberis vulgaris","Volume 3","Berberis vulgaris"
