"","Volume","Taxon name"
"Huperzia miyoshiana","Volume 2","Huperzia miyoshiana"
"Ranunculus hederaceus","Volume 3","Ranunculus hederaceus"
"Thelypteris quelpaertensis","Volume 2","Thelypteris quelpaertensis"
