"","Volume","Taxon name"
"Aulacomnium androgynum","Volume 28","Aulacomnium androgynum"
"Aulacomnium palustre","Volume 28","Aulacomnium palustre"
"Avena","Volume 24","Avena"
"Avena fatua","Volume 24","Avena fatua"
"Avena hybrida","Volume 24","Avena hybrida"
"Avena sativa","Volume 24","Avena sativa"
"Barbarea vulgaris","Volume 7","Barbarea vulgaris"
"Barbula unguiculata","Volume 27","Barbula unguiculata"
"Beckmannia","Volume 24","Beckmannia"
"Beckmannia syzigachne","Volume 24","Beckmannia syzigachne"
"Berberis thunbergii","Volume 3","Berberis thunbergii"
"Berberis vulgaris","Volume 3","Berberis vulgaris"
"Betula alleghaniensis","Volume 3","Betula alleghaniensis"
"Betula cordifolia","Volume 3","Betula cordifolia"
"Betula glandulosa","Volume 3","Betula glandulosa"
"Betula papyrifera","Volume 3","Betula papyrifera"
"Betula populifolia","Volume 3","Betula populifolia"
"Betula pumila","Volume 3","Betula pumila"
"Bidens cernua","Volume 21","Bidens cernua"
"Bidens connata","Volume 21","Bidens connata"
"Bidens eatonii","Volume 21","Bidens eatonii"
"Bidens frondosa","Volume 21","Bidens frondosa"
"Bidens heterodoxa","Volume 21","Bidens heterodoxa"
"Blysmopsis rufa","Volume 23","Blysmopsis rufa"
"Bolboschoenus maritimus","Volume 23","Bolboschoenus maritimus"
"Bolboschoenus maritimus subsp. maritimus","Volume 23","Bolboschoenus maritimus subsp. maritimus"
"Bolboschoenus maritimus subsp. paludosus","Volume 23","Bolboschoenus maritimus subsp. paludosus"
"Botrychium lunaria","Volume 2","Botrychium lunaria"
"Botrychium minganense","Volume 2","Botrychium minganense"
"Botrychium spathulatum","Volume 2","Botrychium spathulatum"
"Botrychium virginianum","Volume 2","Botrychium virginianum"
"Brachyelytrum","Volume 24","Brachyelytrum"
"Brachyelytrum aristosum","Volume 24","Brachyelytrum aristosum"
"Brachytheciastrum velutinum var. velutinum","Volume 28","Brachytheciastrum velutinum var. velutinum"
"Brassica juncea","Volume 7","Brassica juncea"
"Brassica napus","Volume 7","Brassica napus"
"Brassica nigra","Volume 7","Brassica nigra"
"Brassica oleracea","Volume 7","Brassica oleracea"
"Brassica rapa","Volume 7","Brassica rapa"
"Bromus","Volume 24","Bromus"
"Bromus caroli-henrici","Volume 24","Bromus caroli-henrici"
"Bromus ciliatus","Volume 24","Bromus ciliatus"
"Bromus commutatus","Volume 24","Bromus commutatus"
"Bromus hallii","Volume 24","Bromus hallii"
"Bromus inermis","Volume 24","Bromus inermis"
"Bromus japonicus","Volume 24","Bromus japonicus"
"Bromus pumpellianus","Volume 24","Bromus pumpellianus"
"Bromus pumpellianus subsp. dicksonii","Volume 24","Bromus pumpellianus subsp. dicksonii"
"Bromus pumpellianus subsp. pumpellianus","Volume 24","Bromus pumpellianus subsp. pumpellianus"
"Bromus racemosus","Volume 24","Bromus racemosus"
"Bromus richardsonii","Volume 24","Bromus richardsonii"
"Bromus riparius","Volume 24","Bromus riparius"
"Bromus sect. Bromopsis","Volume 24","Bromus sect. Bromopsis"
"Bromus sect. Bromus","Volume 24","Bromus sect. Bromus"
"Bromus sect. Ceratochloa","Volume 24","Bromus sect. Ceratochloa"
"Bromus sect. Genea","Volume 24","Bromus sect. Genea"
"Bromus sect. Neobromus","Volume 24","Bromus sect. Neobromus"
"Brotherella recurvans","Volume 28","Brotherella recurvans"
"Bryhnia novae-angliae","Volume 28","Bryhnia novae-angliae"
"Bryum argenteum var. argenteum","Volume 28","Bryum argenteum var. argenteum"
"Butomus umbellatus","Volume 22","Butomus umbellatus"
"Buxbaumia aphylla","Volume 27","Buxbaumia aphylla"
"Cakile edentula","Volume 7","Cakile edentula"
"Cakile edentula var. edentula","Volume 7","Cakile edentula var. edentula"
"Calamagrostis","Volume 24","Calamagrostis"
"Calamagrostis canadensis","Volume 24","Calamagrostis canadensis"
"Calamagrostis canadensis var. canadensis","Volume 24","Calamagrostis canadensis var. canadensis"
"Calamagrostis canadensis var. macouniana","Volume 24","Calamagrostis canadensis var. macouniana"
"Calamagrostis cinnoides","Volume 24","Calamagrostis cinnoides"
"Calamagrostis epigejos","Volume 24","Calamagrostis epigejos"
"Calamagrostis stricta","Volume 24","Calamagrostis stricta"
"Calamagrostis stricta subsp. inexpansa","Volume 24","Calamagrostis stricta subsp. inexpansa"
"Calamagrostis stricta subsp. stricta","Volume 24","Calamagrostis stricta subsp. stricta"
"Calamagrostis ×acutiflora","Volume 24","Calamagrostis ×acutiflora"
"Calla palustris","Volume 22","Calla palustris"
"Callicladium haldanianum","Volume 28","Callicladium haldanianum"
