"x"
"Carex tincta"
"Carex tonsa"
"Carex tonsa var. tonsa"
"Carex trisperma"
"Carex umbellata"
"Carex utriculata"
"Carex vacillans"
"Carex viridula"
"Carex viridula var. viridula"
"Carex vulpinoidea"
"Carex wiegandii"
"Catabrosa"
"Catabrosa aquatica"
"Celastrus orbiculatus"
"Centaurea cyanus"
"Centaurea nigra"
"Cerastium arvense"
"Cerastium arvense subsp. strictum"
"Cerastium fontanum"
"Cerastium fontanum subsp. vulgare"
"Cerastium tomentosum"
"Ceratodon purpureus subsp. purpureus"
"Ceratophyllum demersum"
"Chaenorhinum minus"
"Chaenorhinum minus subsp. minus"
"Chamaedaphne calyculata"
"Chelidonium majus"
"Chelone glabra"
"Chenopodium album"
"Chenopodium berlandieri"
"Chenopodium berlandieri var. macrocalycium"
"Chenopodium glaucum"
"Chenopodium glaucum var. glaucum"
"Chenopodium strictum"
"Chimaphila umbellata"
"Chimaphila umbellata subsp. umbellata"
"Chrysosplenium americanum"
"Cichorium intybus"
"Cinna"
"Cinna latifolia"
"Cirsium arvense"
"Cirsium muticum"
"Cirsium vulgare"
"Claytonia caroliniana"
"Clematis virginiana"
"Climacium dendroides"
"Clintonia borealis"
"Coeloglossum viride"
"Comandra umbellata"
"Comandra umbellata subsp. umbellata"
"Comarum palustre"
"Comptonia peregrina"
"Conringia orientalis"
"Convallaria majalis var. majalis"
"Conyza canadensis"
"Coptis trifolia"
"Corallorhiza maculata var. maculata"
"Corallorhiza maculata var. occidentalis"
"Corallorhiza trifida"
"Corema conradii"
"Cornus alternifolia"
"Cornus canadensis"
"Cornus rugosa"
"Cornus sericea"
"Corydalis sempervirens"
"Corylus cornuta subsp. cornuta"
"Cotula coronopifolia"
"Crassula aquatica"
"Crataegus chrysocarpa"
"Crataegus chrysocarpa var. chrysocarpa"
"Crataegus jonesiae"
"Crataegus macrosperma"
"Crataegus monogyna"
"Crataegus monogyna var. monogyna"
"Cryptogramma stelleri"
"Ctenidium molluscum"
"Cyclachaena xanthiifolia"
