"x"
"Cichorium intybus"
"Cinclidium stygium"
"Cinclidium subrotundum"
"Cinna"
"Cinna latifolia"
"Cirriphyllum piliferum"
"Cirsium muticum"
"Cladium mariscoides"
"Climacium dendroides"
"Clintonia borealis"
"Cochlearia groenlandica"
"Cochlearia tridactylites"
"Codriophorus acicularis"
"Codriophorus fascicularis"
"Comandra umbellata subsp. umbellata"
"Comarum palustre"
"Conostomum tetragonum"
"Conringia orientalis"
"Convallaria majalis var. majalis"
"Corallorhiza trifida"
"Cornus canadensis"
"Cornus sericea"
"Cornus suecica"
"Coscinodon cribrosus"
"Cratoneuron filicinum"
"Crepis nana"
"Cynodontium polycarpon"
"Cynodontium strumiferum"
"Cynodontium tenellum"
"Cypripedium parviflorum var. makasin"
"Cypripedium parviflorum var. pubescens"
"Cyrtomnium hymenophylloides"
"Cyrtomnium hymenophyllum"
"Danthonia"
"Danthonia intermedia"
"Danthonia spicata"
"Dasiphora fruticosa"
"Deschampsia"
"Deschampsia cespitosa"
"Deschampsia cespitosa subsp. beringensis"
"Deschampsia cespitosa subsp. cespitosa"
"Deschampsia cespitosa subsp. holciformis"
"Deschampsia flexuosa"
"Deschampsia mackenzieana"
"Deschampsia sukatschewii"
"Diapensia lapponica"
"Dichelyma falcatum"
"Dichodontium pellucidum"
"Didymodon ferrugineus"
"Didymodon rigidulus var. gracilis"
"Distichium capillaceum"
"Distichium inclinatum"
"Ditrichum flexicaule"
"Ditrichum gracile"
"Ditrichum lineare"
"Ditrichum pusillum"
"Draba glabella"
"Draba incana"
"Draba lactea"
"Draba norvegica"
"Drepanocladus aduncus"
"Drepanocladus polygamus"
"Drosera anglica"
"Drosera intermedia"
"Drosera rotundifolia"
"Dryas integrifolia subsp. integrifolia"
"Dulichium arundinaceum var. arundinaceum"
"Elatine minima"
"Eleocharis acicularis"
"Eleocharis elliptica"
"Eleocharis kamtschatica"
"Eleocharis nitida"
"Eleocharis ovata"
"Eleocharis palustris"
"Eleocharis parvula"
"Eleocharis quinqueflora"
"Eleocharis uniglumis"
"Elodium blandowii"
"Elymus"
"Elymus ciliaris"
"Elymus curvatus"
"Elymus dahuricus"
"Elymus pringlei"
"Elymus repens"
"Elymus sierrae"
"Elymus trachycaulus"
"Elymus trachycaulus subsp. subsecundus"
"Elymus trachycaulus subsp. trachycaulus"
"Elymus trachycaulus subsp. virescens"
"Elymus tsukushiensis"
"Elymus violaceus"
"Elymus ×pinalenoensis"
"Empetrum atropurpureum"
"Empetrum eamesii"
"Empetrum nigrum"
"Encalypta procera"
"Epigaea repens"
"Erigeron acris"
"Erigeron elatus"
"Erigeron strigosus var. strigosus"
"Erigeron uniflorus"
"Eriophorum angustifolium subsp. angustifolium"
"Eriophorum brachyantherum"
"Eriophorum callitrix"
"Eriophorum chamissonis"
"Eriophorum gracile"
"Eriophorum scheuchzeri"
"Eriophorum tenellum"
"Eriophorum vaginatum"
"Eriophorum virginicum"
"Eriophorum viridicarinatum"
"Erucastrum gallicum"
"Erythronium americanum subsp. americanum"
"Euphrasia arctica subsp. borealis"
"Euphrasia disjuncta"
"Euphrasia frigida"
"Euphrasia oakesii var. oakesii"
"Euphrasia oakesii var. williamsii"
"Euphrasia ostenfeldii"
"Euphrasia randii"
"Euphrasia suborbicularis"
"Euphrasia vinacea"
"Euphrasia wettsteinii"
"Eurhynchiastrum pulchellum var. pulchellum"
"Eurybia radula"
"Fallopia convolvulus"
"Festuca"
"Festuca altaica"
"Festuca amethystina"
"Festuca brachyphylla"
"Festuca brachyphylla subsp. brachyphylla"
"Festuca brachyphylla subsp. breviculmis"
"Festuca brachyphylla subsp. coloradensis"
"Festuca filiformis"
"Festuca frederikseniae"
"Festuca glauca"
"Festuca prolifera"
"Festuca roemeri"
"Festuca rubra"
"Festuca rubra subsp. arctica"
"Festuca rubra subsp. arenaria"
"Festuca rubra subsp. aucta"
"Festuca rubra subsp. commutata"
"Festuca rubra subsp. fallax"
"Festuca rubra subsp. mediana"
"Festuca rubra subsp. pruinosa"
"Festuca rubra subsp. rubra"
"Festuca rubra subsp. secunda"
"Festuca rubra subsp. vallicola"
"Festuca saximontana"
"Festuca saximontana var. robertsiana"
"Festuca saximontana var. saximontana"
"Festuca sect. Breviaristatae"
"Festuca sect. Elmera"
"Festuca sect. Festuca"
"Festuca sect. Subulatae"
"Festuca sect. Subuliflorae"
"Festuca sect. Texanae"
"Festuca subg. Festuca"
"Festuca subg. Montanae"
"Festuca subg. Obtusae"
"Festuca subg. Subulatae"
"Festuca trachyphylla"
"Festuca viviparoidea"
"Festuca viviparoidea subsp. krajinae"
"Festuca viviparoidea subsp. viviparoidea"
"Fontinalis antipyretica"
"Fontinalis dalecarlica"
"Fragaria virginiana subsp. glauca"
"Funaria hygrometrica var. hygrometrica"
"Gaultheria hispidula"
"Gemmabryum caespiticium"
"Geocaulon lividum"
"Geum macrophyllum var. macrophyllum"
"Geum rivale"
"Glyceria"
"Glyceria alnasteretum"
"Glyceria borealis"
