"Taxon Name", "Match", "Number of Matches", "Matches"
"Agrostis", "yes", "11", "Agrostis Linnaeus, Apera interrupta (Linnaeus) P. Beauvois, Agrostis gigantea Roth, Agrostis capillaris Linnaeus, Agrostis canina Linnaeus nom. cons., Agrostis vinealis Schreber, Apera spica-venti (Linnaeus) P. Beauvois, Agrostis perennans (Walter) Tuckerman, Agrostis scabra Willdenow, Agrostis stolonifera Linnaeus, Coleataenia rigidula (Bosc ex Nees) LeBlond"
"Agrostis Anadyrensis", "yes", "11", "Agrostis Linnaeus, Apera interrupta (Linnaeus) P. Beauvois, Agrostis gigantea Roth, Agrostis capillaris Linnaeus, Agrostis canina Linnaeus nom. cons., Agrostis vinealis Schreber, Apera spica-venti (Linnaeus) P. Beauvois, Agrostis perennans (Walter) Tuckerman, Agrostis scabra Willdenow, Agrostis stolonifera Linnaeus, Coleataenia rigidula (Bosc ex Nees) LeBlond"
"Agrostis Exarata", "yes", "11", "Agrostis Linnaeus, Apera interrupta (Linnaeus) P. Beauvois, Agrostis gigantea Roth, Agrostis capillaris Linnaeus, Agrostis canina Linnaeus nom. cons., Agrostis vinealis Schreber, Apera spica-venti (Linnaeus) P. Beauvois, Agrostis perennans (Walter) Tuckerman, Agrostis scabra Willdenow, Agrostis stolonifera Linnaeus, Coleataenia rigidula (Bosc ex Nees) LeBlond"
"Agrostis Gigantea", "yes", "11", "Agrostis Linnaeus, Apera interrupta (Linnaeus) P. Beauvois, Agrostis gigantea Roth, Agrostis capillaris Linnaeus, Agrostis canina Linnaeus nom. cons., Agrostis vinealis Schreber, Apera spica-venti (Linnaeus) P. Beauvois, Agrostis perennans (Walter) Tuckerman, Agrostis scabra Willdenow, Agrostis stolonifera Linnaeus, Coleataenia rigidula (Bosc ex Nees) LeBlond"
"Agrostis Mertensii", "yes", "11", "Agrostis Linnaeus, Apera interrupta (Linnaeus) P. Beauvois, Agrostis gigantea Roth, Agrostis capillaris Linnaeus, Agrostis canina Linnaeus nom. cons., Agrostis vinealis Schreber, Apera spica-venti (Linnaeus) P. Beauvois, Agrostis perennans (Walter) Tuckerman, Agrostis scabra Willdenow, Agrostis stolonifera Linnaeus, Coleataenia rigidula (Bosc ex Nees) LeBlond"
"Agrostis Nebulosa", "yes", "11", "Agrostis Linnaeus, Apera interrupta (Linnaeus) P. Beauvois, Agrostis gigantea Roth, Agrostis capillaris Linnaeus, Agrostis canina Linnaeus nom. cons., Agrostis vinealis Schreber, Apera spica-venti (Linnaeus) P. Beauvois, Agrostis perennans (Walter) Tuckerman, Agrostis scabra Willdenow, Agrostis stolonifera Linnaeus, Coleataenia rigidula (Bosc ex Nees) LeBlond"
"Agrostis Scabra", "yes", "11", "Agrostis Linnaeus, Apera interrupta (Linnaeus) P. Beauvois, Agrostis gigantea Roth, Agrostis capillaris Linnaeus, Agrostis canina Linnaeus nom. cons., Agrostis vinealis Schreber, Apera spica-venti (Linnaeus) P. Beauvois, Agrostis perennans (Walter) Tuckerman, Agrostis scabra Willdenow, Agrostis stolonifera Linnaeus, Coleataenia rigidula (Bosc ex Nees) LeBlond"
"Agrostis Stolonifera", "yes", "11", "Agrostis Linnaeus, Apera interrupta (Linnaeus) P. Beauvois, Agrostis gigantea Roth, Agrostis capillaris Linnaeus, Agrostis canina Linnaeus nom. cons., Agrostis vinealis Schreber, Apera spica-venti (Linnaeus) P. Beauvois, Agrostis perennans (Walter) Tuckerman, Agrostis scabra Willdenow, Agrostis stolonifera Linnaeus, Coleataenia rigidula (Bosc ex Nees) LeBlond"
"Agrostis Tolucensis", "yes", "11", "Agrostis Linnaeus, Apera interrupta (Linnaeus) P. Beauvois, Agrostis gigantea Roth, Agrostis capillaris Linnaeus, Agrostis canina Linnaeus nom. cons., Agrostis vinealis Schreber, Apera spica-venti (Linnaeus) P. Beauvois, Agrostis perennans (Walter) Tuckerman, Agrostis scabra Willdenow, Agrostis stolonifera Linnaeus, Coleataenia rigidula (Bosc ex Nees) LeBlond"
"Agrostis Variabilis", "yes", "11", "Agrostis Linnaeus, Apera interrupta (Linnaeus) P. Beauvois, Agrostis gigantea Roth, Agrostis capillaris Linnaeus, Agrostis canina Linnaeus nom. cons., Agrostis vinealis Schreber, Apera spica-venti (Linnaeus) P. Beauvois, Agrostis perennans (Walter) Tuckerman, Agrostis scabra Willdenow, Agrostis stolonifera Linnaeus, Coleataenia rigidula (Bosc ex Nees) LeBlond"
