"Taxon Name", "Match", "Number of Matches", "Matches"
"Carex Aquatilis Var. Aquatilis", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Arcta", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Atherodes", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Athrostachya", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Atratiformis", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Atrosquama", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Aurea", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Backii", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Bebbii", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Brevior", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Brunnescens", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Brunnescens Subsp. Brunnescens", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Buxbaumii", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
"Carex Canescens", "yes", "48", "Carex Linnaeus, Carex scoparia Schkuhr ex Willdenow, Carex viridula subsp. brachyrrhyncha (Celakovsky) B. Schmid, Carex holostoma Drejer, Carex projecta Mackenzie, Carex adelostoma V.I. Kreczetowicz, Carex scopulorum var. bracteosa (L.H. Bailey) F.J. Hermann, Carex laeviconica Dewey, Carex gynocrates Wormskjold ex Drejer, Carex cryptolepis Mackenzie, Carex waponahkikensis Lovit & A. Haines, Carex hyalinolepis Steudel, Carex albicans Willdenow ex Sprengel var. albicans, Carex albicans Willdenow ex Sprengel, Carex atrosquama Mackenzie, Carex rufina Drejer, Carex spicata Hudson, Carex pachystachya Chamisso ex Steudel, Carex seorsa Howe, Carex distans Linnaeus, Carex brunnescens subsp. sphaerostachya (Tuckerman) Kalela, Carex pendula Hudson, Carex deweyana var. collectanea Fernald, Carex divulsa Stokes, Carex athrostachya Olney, Carex capillaris subsp. fuscidula (V.I. Kreczetovicz ex T.V. Egorova) Á. Löve & D. Löve, Carex atlantica subsp. capillacea (L.H. Bailey) Reznicek, Carex filifolia Nuttall, Carex hirtifolia Mackenzie, Carex anthoxanthea J. Presl & C. Presl, Carex tonsa (Fernald) E.P. Bicknell, Carex tonsa var. rugosperma (Mackenzie) Crins, Carex oligocarpa Willdenow, Carex tonsa (Fernald) E.P. Bicknell var. tonsa, Carex obtusata Liljeblad, Carex sychnocephala J. Carey, Carex rotundata Wahlenberg, Carex lasiocarpa Ehrhart, Carex lasiocarpa subsp. americana (Fernald) D. Löve & J.-P. Bernard, Carex trichocarpa Muhlenberg ex Willdenow, Carex laevivaginata (Kükenthal) Mackenzie, Carex annectens (E.P. Bicknell) E.P. Bicknell, Carex amplifolia Boott, Carex macrochaeta C.A. Meyer, Carex podocarpa R. Brown, Carex macrocephala Willdenow ex Sprengel, Carex platyphylla J. Carey, Carex chordorrhiza Linnaeus f."
